ら戳,秨絃基,程蔼基,程基,Μ絃基,EMA45,А絬よ,Θユ秖,А秖10ら,А秖よ,戈,щ獺,犁坝,猭,,北絃,磕戈,磕ㄩ,ユ產计,把籔瞯,禦秈產计,芥產计,ㄩ芥緇肂,up.5days
2015/1/27,55.86,56.06,55.7,55.98,53.66,1,36217,17396,1,29077,-52,3567,32592,3163,2252,2750,1930,641,0.6384,248,573,6420,0
2015/1/28,55.7,56.02,55.7,55.98,53.76,1,35994,20275,1,22123,46,4416,26585,1792,1623,2646,1914,579,0.5767,210,521,6420,1
2015/1/29,55.9,55.9,55.17,55.29,53.82,1,19790,21901,0,11212,110,-551,10771,-830,-836,3008,1904,559,0.5568,455,271,5891,1
2015/1/30,55.54,55.54,55.05,55.05,53.88,1,4264,21396,0,1457,0,-1427,30,-126,-99,3146,1868,374,0.3725,281,186,5891,1
2015/2/2,55.21,55.33,54.97,55.17,53.93,1,5811,20218,0,3193,0,-1189,2004,199,3,3042,1841,341,0.34,221,215,5890,1
2015/2/3,55.33,55.74,55.13,55.58,54.01,1,16646,20872,0,12275,0,-655,11620,710,634,2958,1817,414,0.4128,227,300,4729,0
2015/2/4,56.02,56.27,55.9,56.18,54.1,1,20358,21153,0,14393,0,891,15284,3446,2033,2635,1802,643,0.6411,227,572,5342,0
2015/2/5,55.9,56.06,55.7,55.94,54.18,1,4784,20018,0,556,0,-1721,-1165,-286,-462,2741,1787,336,0.335,240,173,5342,0
2015/2/6,55.94,56.02,55.58,55.66,54.24,1,4108,16843,0,482,0,-1001,-519,-126,-147,2741,1791,330,0.329,234,161,5342,1
2015/2/9,55.66,55.66,55.25,55.46,54.3,1,3512,15148,0,-303,0,-1096,-1399,-271,-177,2821,1787,310,0.3091,228,151,4884,1
2015/2/10,55.42,55.46,55.21,55.25,54.34,1,8023,12329,0,789,0,-1297,-508,-606,-367,2822,1718,349,0.348,285,129,4884,1
2015/2/11,55.62,56.06,55.62,55.86,54.4,1,7199,9450,0,3794,0,1206,5000,1122,1100,2757,1568,460,0.4586,174,389,5071,1
2015/2/12,55.86,56.02,55.7,55.86,54.47,1,9310,8402,1,3774,80,2258,6112,70,29,2735,1555,305,0.3041,165,205,2363,1
2015/2/13,56.14,56.39,56.14,56.23,54.54,1,7600,8735,0,1250,232,3488,4970,2013,1605,2719,1556,576,0.5743,221,507,1637,1
2015/2/24,56.63,57.03,56.63,56.87,54.65,1,14550,9609,1,8086,55,1276,9417,3321,2642,2127,1544,674,0.672,267,613,1716,0
2015/2/25,57.24,57.4,57.12,57.32,54.76,1,23254,10270,1,16714,-210,-689,15815,2700,1491,2031,1594,604,0.6022,263,521,1573,0
2015/2/26,57.12,57.2,56.71,56.91,54.86,1,8689,9103,0,4197,0,-1015,3182,414,179,2012,1581,460,0.4586,292,293,1573,0
2015/3/2,56.91,57.12,56.47,56.67,54.93,1,6589,9283,0,-345,-100,1393,948,-550,-538,2101,1519,459,0.4576,347,235,1573,0
2015/3/3,56.71,56.75,56.27,56.59,55.01,1,5068,9379,0,-274,0,-263,-537,-568,-482,2249,1512,401,0.3998,306,181,1573,0
2015/3/4,56.31,56.71,56.27,56.63,55.08,1,6415,9670,0,1760,801,1440,4001,102,37,2281,1527,375,0.3739,238,235,1573,0
2015/3/5,56.63,56.67,56.14,56.43,55.14,1,3762,9244,0,265,0,-143,122,-482,-652,2399,1518,353,0.3519,310,120,1573,0
2015/3/6,56.31,56.59,56.1,56.51,55.2,1,3067,8830,0,-380,0,989,609,-118,-119,2377,1519,328,0.327,245,152,1573,0
2015/3/9,56.23,56.27,55.78,55.94,55.23,1,7465,8646,0,-2047,-1,-834,-2882,-1731,-1591,2498,1507,517,0.5155,474,148,1573,0
2015/3/10,55.86,55.9,55.54,55.82,55.25,1,6958,8582,0,-1707,-54,762,-999,-1151,-1205,2838,1536,507,0.5055,451,180,1573,1
2015/3/11,55.33,55.98,55.29,55.9,55.28,1,10039,8131,1,-5791,0,876,-4915,-364,-426,2992,1623,442,0.4407,361,208,1573,1
2015/3/12,55.74,56.39,55.7,56.39,55.33,1,5710,6376,0,1633,0,781,2414,415,517,2601,1611,422,0.4207,251,284,1573,1
2015/3/13,56.39,56.47,56.23,56.23,55.37,1,4528,5960,0,37,249,-1446,-1160,-513,-423,2693,1618,361,0.3599,266,178,1573,1
2015/3/16,56.14,56.14,55.74,55.78,55.39,1,6080,5909,1,2338,0,-2650,-312,-827,-934,2901,1618,410,0.4092,360,127,1573,1
2015/3/17,56.02,56.47,55.86,55.98,55.41,1,7096,6112,1,339,0,-290,49,-18,-240,3040,1630,384,0.3832,293,223,1573,1
2015/3/18,56.02,56.79,56.02,56.59,55.46,1,18621,7333,1,6823,0,4433,11256,3859,2390,2439,1571,585,0.5838,218,527,1869,1
